endTime,artistName,trackName,msPlayed
2021-03-03 03:13,RADWIMPS,Unusual changes of two,156689
2021-03-03 03:14,RADWIMPS,First view of tokyo,79785
2021-03-03 03:17,BTS,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],205019
2021-03-03 03:21,RADWIMPS,Nandemonaiya - movie edit.,196906
2021-03-03 03:24,RADWIMPS,Theme of Mitsuha,199924
2021-03-03 03:52,Stephanie Poetri,Do You Love Me,144383
2021-03-03 03:52,Kim Woo Sung,ILYSB,4185
2021-03-03 03:56,BTS,Inner Child,233265
2021-03-03 04:00,Agust D,Dear my friend (feat. Kim Jong Wan of NELL),30004
2021-03-03 04:00,V,Sweet Night,214258
2021-03-03 04:06,Eric Nam,Love Die Young,21144
2021-03-03 04:06,Agust D,Dear my friend (feat. Kim Jong Wan of NELL),290384
2021-03-03 04:07,Lauv,Julia,44086
2021-03-03 04:11,BTS,Blue & Grey,254950
2021-03-03 04:13,DAY6,예뻤어 You Were Beautiful,78641
2021-03-03 04:16,5 Seconds of Summer,Ghost Of You,197411
2021-03-03 04:16,Sara Kays,Remember That Night?,1056
2021-03-03 04:16,Conan Gray,The Story,20701
2021-03-03 04:16,The Rose,I.L.Y.,1388
2021-03-03 04:18,Gaho,Stay Here,86095
2021-03-03 04:21,BTS,Intro: Singularity,196998
2021-03-03 04:23,Halsey,SUGA's Interlude,138204
2021-03-03 04:28,RINI,Meet Me in Amsterdam,301442
2021-03-03 04:29,juno roome,American Boy,19368
2021-03-03 04:34,LeeHi,BREATHE,288904
2021-03-03 04:37,keshi,blue,178600
2021-03-03 04:41,Shin Hae Gyeong,Dreaming of You (feat. Kim Sawol),190246
2021-03-03 04:44,BTS,Stigma,207374
2021-03-03 04:47,BTS,Reflection,931
2021-03-03 04:47,BTS,First Love,189795
2021-03-03 04:51,BTS,Begin,229740
2021-03-03 04:52,BTS,Lie,15769
2021-03-03 06:21,Elton John,Your Song,241786
2021-03-03 06:25,John Denver,Annie's Song,180693
2021-03-03 06:29,Fleetwood Mac,Dreams - 2004 Remaster,257800
2021-03-03 06:30,Perry Como,For the Good Times,93623
2021-03-03 10:51,Perry Como,And I Love You So,197626
2021-03-03 10:55,Elton John,Your Song,241767
2021-03-03 10:59,Fleetwood Mac,Dreams - 2004 Remaster,257789
2021-03-03 11:03,Michael Jackson,She's Out of My Life - Single Version,218266
2021-03-03 11:07,Perry Como,For the Good Times,218200
2021-03-03 11:11,Carpenters,Yesterday Once More,233533
2021-03-03 11:14,John Denver,Annie's Song,180693
2021-03-03 11:17,Olivia Newton-John,Hopelessly Devoted To You - From “Grease”,185343
2021-03-03 11:21,Bee Gees,"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack",243933
2021-03-03 11:23,Bread,If,155760
2021-03-03 11:29,Bobby Caldwell,What You Won't Do for Love,286489
2021-03-03 11:33,Randy VanWarmer,Just When I Needed You Most,241721
2021-03-03 11:36,B.J. Thomas,Raindrops Keep Fallin' On My Head,184493
2021-03-03 11:40,George Harrison,All Things Must Pass - 2020 Mix,226953
2021-03-03 11:42,Roberta Flack,Feel Like Makin' Love,117047
2021-03-03 11:45,RADWIMPS,Nandemonaiya - movie edit.,196906
2021-03-03 11:49,BTS,Inner Child,233265
2021-03-03 11:53,BTS,Blue & Grey,254950
2021-03-03 11:57,BTS,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],205019
2021-03-03 12:00,RADWIMPS,Katawaredoki,170017
2021-03-03 12:04,BTS World,Flying (Taehyung Theme) [BTS World Original Soundtrack],216086
2021-03-03 12:07,BTS,Friends,199321
2021-03-03 12:11,BTS,Stigma,216063
2021-03-03 12:15,RADWIMPS,Zenzenzense - movie ver.,236041
2021-03-04 01:20,JONGHYUN,Lonely,244451
2021-03-04 01:25,JONGHYUN,End of a day,277223
2021-03-04 01:28,JONGHYUN,Let Me Out,10818
2021-03-04 01:28,JONGHYUN,Moon,164090
2021-03-04 01:30,Frank Sinatra,When You're Smiling (The Whole World Smiles With You) - 1998 Digital Remaster,120333
2021-03-04 01:33,Ben E. King,Don't Play That Song (You Lied),174293
2021-03-04 02:02,Dean Martin,Luna Mezzo Mare,19463
2021-03-04 02:06,Adele,Chasing Pavements,210506
2021-03-04 02:09,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),178994
2021-03-04 02:14,Taylor Swift,evermore (feat. Bon Iver),304106
2021-03-04 02:18,Niall Horan,Put A Little Love On Me,224585
2021-03-04 02:22,Julia Michaels,What A Time (feat. Niall Horan),173306
2021-03-04 02:25,Jeremy Zucker,comethru,181613
2021-03-04 02:29,Etham,Purpose - Stripped,196413
2021-03-04 02:29,The Band CAMINO,Crying Over You,31674
2021-03-04 05:01,BTS,Stigma,27
2021-03-04 05:17,Fall Out Boy,Centuries,228360
2021-03-04 05:22,Fall Out Boy,The Kids Aren't Alright,260920
